locale;productid;productname;productdesc;url
"hi";1;एक्रीसियो;एक्रीसियो - द पाउडरी मिल्ड्यू स्पेशलिस्ट, एक अद्वितीय रसायन विज्ञान है जिसमें अद्वितीय क्रियाविधि है जो व्यापक रोग नियंत्रण प्रदान करती है।;https://crop-protection.basf.in/hi/fungicide/acrisio
"kan";1;ಅಕ್ರಿಸಿಯೋ;ಅಕ್ರಿಸಿಯೋ - ಪೌಡರ್ ಶಿಲೀಂಧ್ರ ತಜ್ಞ, ಒಂದು ವಿಶಿಷ್ಟವಾದ ರಸಾಯನಶಾಸ್ತ್ರವಾಗಿದ್ದು, ಇದು ಒಂದು ವಿಶಿಷ್ಟವಾದ ಕಾರ್ಯವಿಧಾನವನ್ನು ಹೊಂದಿದೆ, ಇದು ಸಮಗ್ರ ರೋಗ ನಿಯಂತ್ರಣವನ್ನು ಒದಗಿಸುತ್ತದೆ.;https://crop-protection.basf.in/en/fungicide/acrisio
"pa";1;ਏਕਰਿਓ;ਐਕਰਿਸਿਓ - ਪਾ Powderਡਰ ਮਿਲਡਿ Special ਸਪੈਸ਼ਲਿਸਟ, ਕਿਰਿਆ ਦੀ ਇਕ ਵਿਲੱਖਣ ਵਿਧੀ ਨਾਲ ਇਕ ਵਿਲੱਖਣ ਰਸਾਇਣ ਹੈ ਜੋ ਵਿਆਪਕ ਬਿਮਾਰੀ ਨਿਯੰਤਰਣ ਪ੍ਰਦਾਨ ਕਰਦੀ ਹੈ.;https://crop-protection.basf.in/en/fungicide/acrisio
"pa";2;ਬਸਤਾ; ਕਿਉਂਕਿ ਬੈਸਟਾ ਸੰਪਰਕ ਕਿਰਿਆ ਦੁਆਰਾ ਕੰਮ ਕਰਦਾ ਹੈ, ਇਹ ਫਸਲਾਂ ਲਈ ਨਿਰਦੇਸ਼ਤ ਸਪਰੇਅ ਵਿੱਚ ਹੋਰ ਗੈਰ-ਚੋਣਵੇਂ ਜੜੀ-ਬੂਟੀਆਂ ਨਾਲੋਂ ਸੁਰੱਖਿਅਤ ਹੈ. ਇਹ ਜੰਗਲੀ ਬੂਟੀਆਂ ਨੂੰ ਖਤਮ ਕਰਨ ਵਾਲੀਆਂ ਕੁਝ ਸਖਤ ਪ੍ਰਜਾਤੀਆਂ ਦੇ ਵਿਰੁੱਧ ਬਿਹਤਰ ਪ੍ਰਭਾਵਸ਼ੀਲਤਾ ਦਰਸਾਉਂਦੀ ਹੈ ਜੋ ਇਸ ਸਮੇਂ ਉਤਪਾਦਕਾਂ ਦੁਆਰਾ ਵਰਤੇ ਜਾ ਰਹੇ ਰਵਾਇਤੀ ਉਤਪਾਦਾਂ ਦੁਆਰਾ ਨਿਯੰਤਰਿਤ ਨਹੀਂ ਹਨ.;https://crop-protection.basf.in/en/herbicide/basta
"kan";2;ಬಸ್ತಾ; ಬಸ್ತಾ ಸಂಪರ್ಕದ ಕ್ರಿಯೆಯ ಮೂಲಕ ಕಾರ್ಯನಿರ್ವಹಿಸುವುದರಿಂದ ನಿರ್ದೇಶಿತ ಸಿಂಪಡಣೆಯಲ್ಲಿ ಇತರ ಆಯ್ದ ಸಸ್ಯನಾಶಕಗಳಿಗಿಂತ ಇದು ಬೆಳೆಗಳಿಗೆ ಸುರಕ್ಷಿತವಾಗಿದೆ. ಪ್ರಸ್ತುತ ಬೆಳೆಗಾರರು ಬಳಸುತ್ತಿರುವ ಸಾಂಪ್ರದಾಯಿಕ ಉತ್ಪನ್ನಗಳಿಂದ ನಿಯಂತ್ರಿಸಲಾಗದ ಕೆಲವು ಕಳೆ-ಕೊಲ್ಲುವ ಕಳೆ ಪ್ರಭೇದಗಳ ವಿರುದ್ಧ ಇದು ಉತ್ತಮ ಪರಿಣಾಮಕಾರಿತ್ವವನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ.;https://crop-protection.basf.in/en/herbicide/basta
"hi";2;बस्ता; चूंकि बस्ता® संपर्क क्रिया द्वारा कार्य करता है, यह निर्देशित स्प्रे में अन्य गैर-चयनात्मक जड़ी-बूटियों की तुलना में फसलों के लिए सुरक्षित है। यह कुछ कठिन-से-मारने वाली खरपतवार प्रजातियों के खिलाफ बेहतर प्रभावकारिता प्रदर्शित करता है जो वर्तमान में उत्पादकों द्वारा उपयोग किए जा रहे पारंपरिक उत्पादों द्वारा नियंत्रित नहीं होते हैं।;https://crop-protection.basf.in/hi/herbicide/basta
"pa";3;ਐਕਰੋਬੈਟ ਪੂਰਾ; ਆਪਣੇ ਅੰਗੂਰ ਨੂੰ ਡਾyਨ ਫ਼ਫ਼ੂੰਦੀ ਅਤੇ ਟਾਕਰੇ ਦੇ ਪ੍ਰਬੰਧਨ ਲਈ ਇੱਕ ਪੂਰਾ ਹੱਲ ਦਿਓ. ਐਕਰੋਬਾਟ ਸੰਪੂਰਨ, BASF ਦੀ ਨਵੀਨਤਮ ਉੱਲੀਮਾਰ ਬਾਰੇ ਜਾਣੋ ਜੋ ਦੋ ਸਭ ਤੋਂ ਵੱਧ ਭਰੋਸੇਮੰਦ ਸੰਭਾਵੀ ਕਿਰਿਆਵਾਂ, ਡਾਈਮੇਥੋਮੋਰਫ ਅਤੇ ਮੈਟਿਰਾਮ ਦਾ ਅਨੌਖਾ, ਸੰਤੁਲਿਤ ਮਿਸ਼ਰਣ ਹੈ.;https://crop-protection.basf.in/en/fungicide/acrobat-complete
"kan";3;ಅಕ್ರೋಬ್ಯಾಟ್ ಪೂರ್ಣಗೊಂಡಿದೆ; ಡೌನಿ ಶಿಲೀಂಧ್ರ ಮತ್ತು ಪ್ರತಿರೋಧ ನಿರ್ವಹಣೆಗೆ ನಿಮ್ಮ ದ್ರಾಕ್ಷಿಗೆ ಸಂಪೂರ್ಣ ಪರಿಹಾರವನ್ನು ನೀಡಿ. ಅಕ್ರೊಬ್ಯಾಟ್ ಕಂಪ್ಲೀಟ್ ಅನ್ನು ತಿಳಿದುಕೊಳ್ಳಿ, ಬಿಎಎಸ್ಎಫ್‌ನ ಇತ್ತೀಚಿನ ಶಿಲೀಂಧ್ರನಾಶಕ ಇದು ಎರಡು ವಿಶ್ವಾಸಾರ್ಹ ಸಂಭಾವ್ಯ ಸಕ್ರಿಯರಾದ ಡಿಮೆಥೊಮಾರ್ಫ್ ಮತ್ತು ಮೆಟಿರಾಮ್‌ನ ವಿಶಿಷ್ಟ, ಸಮತೋಲಿತ ಮಿಶ್ರಣವಾಗಿದೆ.;https://crop-protection.basf.in/en/fungicide/acrobat-complete
"hi";3;एक्रोबैट पूरा; अपने अंगूरों को डाउनी मिल्ड्यू और प्रतिरोध प्रबंधन के लिए एक संपूर्ण समाधान दें। एक्रोबैट® कम्प्लीट, बीएएसएफ के नवीनतम कवकनाशी के बारे में जानें, जो दो सबसे भरोसेमंद संभावित सक्रिय, डाइमेथोमोर्फ और मेतिराम का एक अनूठा, संतुलित मिश्रण है।;https://crop-protection.basf.in/hi/fungicide/acrobat-complete
"kan";4;ಅಡೆಕ್ಸಾರ್; ಪೊರೆ ರೋಗದ ಅತ್ಯುತ್ತಮ ನಿಯಂತ್ರಣಕ್ಕಾಗಿ ನವೀನ ಶಿಲೀಂಧ್ರನಾಶಕವಾದ ಅಡೆಕ್ಸಾರ್‌ನೊಂದಿಗೆ ನಿಮ್ಮ ಭತ್ತದ ಬೆಳೆ ಒಳಗಿನಿಂದ ಬಲಪಡಿಸಿ. ಅಡೆಕ್ಸಾರ್ ಎನ್ನುವುದು ನವೀನ ಸಕ್ರಿಯ ಘಟಕಾಂಶವಾದ ಕ್ಸೆಮಿಯಮ್ on ಅನ್ನು ಆಧರಿಸಿ ಹೆಚ್ಚು ಪರಿಣಾಮಕಾರಿಯಾದ ಶಿಲೀಂಧ್ರನಾಶಕವಾಗಿದೆ.;https://crop-protection.basf.in/en/fungicide/adexar
